Well,Fluor,Sample,Cq,SQ,Target
H03,HEX,STD_1000,29.94486191,1000,BHC
H04,HEX,STD_1000,29.96378657,1000,BHC
H05,HEX,STD_1000,29.88867919,1000,BHC
H06,HEX,STD_1000,30.0216332,1000,BHC
H07,HEX,STD_1000,29.88903108,1000,BHC
H08,HEX,STD_1000,29.86961824,1000,BHC
H09,HEX,STD_1000,30.09126922,1000,BHC
H10,HEX,STD_1000,30.20762529,1000,BHC
H11,HEX,STD_1000,30.08490413,1000,BHC
H12,HEX,STD_1000,30.39945047,1000,BHC
A01,FAM,STD_100,32.88625455,100,SVC
A02,FAM,STD_100,32.79687218,100,SVC
A03,FAM,STD_100,33.03148723,100,SVC
A04,FAM,STD_100,33.09165368,100,SVC
A05,FAM,STD_100,33.05694517,100,SVC
A06,FAM,STD_100,32.85506163,100,SVC
A07,FAM,STD_100,33.21220656,100,SVC
A08,FAM,STD_100,32.98924785,100,SVC
A09,FAM,STD_100,33.1934081,100,SVC
A10,FAM,STD_100,32.85038823,100,SVC
A11,FAM,STD_100,33.03765092,100,SVC
A12,FAM,STD_100,33.28154271,100,SVC
B01,FAM,STD_100,33.18137989,100,SVC
B02,FAM,STD_100,32.79641312,100,SVC
B03,FAM,STD_100,32.84284059,100,SVC
B04,FAM,STD_100,32.59617737,100,SVC
B05,FAM,STD_100,32.79908031,100,SVC
B06,FAM,STD_100,32.97197226,100,SVC
B07,FAM,STD_100,33.25500239,100,SVC
B08,FAM,STD_100,33.04194015,100,SVC
B09,FAM,STD_100,33.08482222,100,SVC
B10,FAM,STD_100,32.93385575,100,SVC
B11,FAM,STD_100,33.00667221,100,SVC
B12,FAM,STD_100,33.39786221,100,SVC
C01,FAM,STD_100,33.06770923,100,SVC
C02,FAM,STD_100,33.05884204,100,SVC
C03,FAM,STD_100,33.10856695,100,SVC
C04,FAM,STD_100,32.87526134,100,SVC
C05,FAM,STD_100,33.07020388,100,SVC
C06,FAM,STD_100,32.86362886,100,SVC
C07,FAM,STD_100,32.99737011,100,SVC
C08,FAM,STD_100,32.9077515,100,SVC
C09,FAM,STD_100,33.01030818,100,SVC
C10,FAM,STD_100,33.17577647,100,SVC
C11,FAM,STD_100,32.93708809,100,SVC
C12,FAM,STD_100,33.02187449,100,SVC
D01,FAM,STD_100,33.00209585,100,SVC
D02,FAM,STD_100,33.16640276,100,SVC
D03,FAM,STD_100,33.12116018,100,SVC
D04,FAM,STD_100,32.79256748,100,SVC
D05,FAM,STD_100,33.13488002,100,SVC
D06,FAM,STD_100,32.98648463,100,SVC
D07,FAM,STD_100,32.99350769,100,SVC
D08,FAM,STD_100,32.87825958,100,SVC
D09,FAM,STD_100,32.81425508,100,SVC
